galaxies_lens_model_1_mass_elliptical_comps_0,galaxies_lens_model_1_mass_elliptical_comps_1,galaxies_lens_model_1_mass_einstein_radius_value,galaxies_source_model_1_light_centre_0,galaxies_source_model_1_light_centre_1,galaxies_source_model_1_light_elliptical_comps_0,galaxies_source_model_1_light_elliptical_comps_1,galaxies_source_model_1_light_intensity_value,galaxies_source_model_1_light_effective_radius_value,log_likelihood,log_prior,log_posterior,weights
-0.9303040841290833,-0.5184703645993378,2.5543114713320407,0.04030159826389713,-0.19176543139726712,-0.9384052756831749,-0.6478417884310286,77583.30419927357,9.261663518231707,-4.97536509718844e+17,0.2133362199355826,-4.97536509718844e+17,0.0
0.0884708397434506,0.6367706488753937,2.0017181997408144,0.13017063700776,0.09543606740667465,-0.27044916712663625,-0.9980669410184404,18093.51761876252,28.097222188055113,-1.8694859086976304e+17,0.14479103341863234,-1.8694859086976304e+17,0.0
-0.6931843063737202,-0.7310534581911707,2.2020768673719022,-0.1646735427397076,-0.369289614982061,-0.9384076218640189,0.27108538299506124,19356.678736662132,6.036344191930488,-1.0263886717060264e+17,0.9083416362666457,-1.0263886717060264e+17,0.0
-0.08046649143972551,-0.173110073603858,1.2377643126547646,-0.08435769683755237,0.03024728868553371,0.22740856262179698,0.9586730158636723,21167.17630234268,0.9908518437406633,-3.648691528810087e+16,0.044664573449019855,-3.648691528810087e+16,0.0
-0.21595311613966794,-0.7922124883819959,2.692654428420351,-0.2618254674125718,-0.14477111275191742,-0.17723073152149604,-0.7426818495787171,35509.12352795507,0.38148939910248814,-2.8096475649857944e+16,0.4973128866278196,-2.8096475649857944e+16,0.0
-0.9677808839303743,0.960368355969677,2.1097830027880504,-0.08758215293920202,0.0765716419642453,0.48858957912093803,-0.819735053485587,5053.383705472091,22.820073633669224,-2.6101947923150772e+16,0.07538594202375576,-2.6101947923150772e+16,0.0
-0.7552266516278101,0.4754224002085501,1.9498344765437539,0.06923192462700374,0.45102724547245854,0.9546164542199036,0.9565610441399239,6493.480085570747,23.983538716144093,-1.3841142341968696e+16,1.1569241981042517,-1.3841142341968694e+16,0.0
0.4100987087838015,-0.4871828053764522,1.7114705631997507,0.3423403505051503,0.16687437620793977,0.48548257331444944,0.73058419243975,1896.8173413431387,6.109007146832046,-2876421248323010.0,0.8063270489959635,-2876421248323009.0,0.0
-0.6607580249623037,0.9162904122391207,2.2427005359950813,-0.6575921257440441,0.40428691716844806,-0.15466998207399962,0.11497133430333295,1166.3018973792869,15.54295817115052,-1845605849483031.5,3.3112758289021573,-1845605849483028.2,0.0
0.8503726821734539,0.39628194651447046,0.7240307346089714,0.001870917813639509,-0.02268907190405197,0.8869290904693701,-0.41648157480360903,351.85796746693154,8.614791135149796,-60461041953338.51,0.005721468738824715,-60461041953338.5,0.0
-0.22201756899255964,-0.44415404303916106,1.6086362443800928,-0.2321611502552134,0.28062287716543793,-0.7704050864114365,-0.39707668754669356,126.38727007262167,28.780539541452566,-22928317329212.242,0.744845516344412,-22928317329211.496,0.0
-0.24544197304615545,0.979547501643955,1.3501530744097194,-0.11703825123458916,-0.12671163561255688,0.20495811537511655,0.46771017842502527,93.040757421199,27.58559836903524,-13039106515884.742,0.17604681591574334,-13039106515884.566,0.0
0.43214602229375165,-0.4002444884741476,0.2269729622742973,-0.07804478322739668,-0.10132396340800952,0.6551203411049078,0.1454980433455817,189.9415005800085,1.53434973213052,-13003912410667.486,0.09613996637481069,-13003912410667.39,0.0
-0.4922527041282194,0.7082412975010521,2.872213912963054,0.25798436439899375,-0.18088344929376063,0.48136503649607865,0.3831405639026262,81.86079774166964,8.393084673577434,-7780008958623.893,0.5637422733581736,-7780008958623.329,0.0
0.11318272052870681,-0.8138673043737843,0.553651228727091,0.17766681168502713,0.6045123687700286,-0.48538534979059555,0.7439268361258202,62.506793130427596,19.989739186242776,-4602976039444.072,2.221557705426906,-4602976039441.851,0.0
0.06947559433735795,0.18900365777093198,2.419873309493845,0.09655842759115009,-0.14567315653083474,-0.7108786721386764,0.02831150374197322,50.451194788668296,28.480415308839625,-3463081875246.084,0.18951112764749148,-3463081875245.8945,0.0
-0.5258953240986255,-0.7521044303557427,1.595859530207076,0.519938498758524,-0.0857467388457357,0.9921483864157361,0.8818670297310887,500.57305945720674,2.6139000876938234,-2193389384902.0215,1.544711853241599,-2193389384900.4768,0.0
-0.48272603578975515,-0.03389257604705631,0.9517491208911131,0.07614251844344422,-0.3388689146767502,0.5595385534792376,-0.8722941187975031,107.47332300742866,13.130068068061533,-1974393770024.8,0.6794703259855022,-1974393770024.1206,0.0
-0.32346127691059734,-0.11930374914713204,2.4922072734118217,-0.15542474141477494,0.09080685145799355,-0.0825629636767875,0.1753473778131207,34.98291542494662,19.04800306295212,-1661089692886.9463,0.2086005737275255,-1661089692886.7378,0.0
-0.2767349214042307,-0.5947871781540102,2.2779849998320443,-0.24274897737614876,-0.32450255248951493,-0.8304466622109634,-0.909895456392805,76.20990123075475,17.2815917197918,-867547499547.1903,0.9255048356383123,-867547499546.2648,0.0
0.17124694396607087,0.5987094033419891,0.45629440965704315,-0.09677568941130335,0.1839021474914785,-0.44965034480579913,0.6022752312042741,23.450871241916634,27.169702154896385,-834825066466.6022,0.28256197179278325,-834825066466.3196,0.0
0.9889753598932813,0.29306683526167987,1.9204867782642965,-0.35433916661898995,-0.05259433978300823,0.3515564747615876,0.7150942020479409,17.094242574976185,23.56831710818263,-388732569896.91046,0.7714015037882486,-388732569896.13904,0.0
